Facility,Latitude,Longitude,Type,Label
HCA Florida Millenia Emergency,28.491343,-81.427606,Center Point,HCA Millenia FSED
HCA Florida Airport North Emergency,28.4705,-81.3075,Sister FSED,HCA Airport North ER
HCA Florida Hunter's Creek Emergency,28.390763,-81.426131,Sister FSED,HCA Hunter's Creek ER
HCA Florida West Orange Emergency,28.548505603591,-81.583933654048,Sister FSED,HCA West Orange ER
HCA Florida Baldwin Park Emergency,28.5793,-81.3090,Sister FSED,HCA Baldwin Park ER
HCA Florida Maitland Emergency,28.6468,-81.4145,Sister FSED,HCA Maitland ER
HCA Florida Downtown Emergency,28.5707,-81.3894,Sister FSED,HCA Downtown ER
HCA Florida Heathrow Emergency,28.7747,-81.3615,Sister FSED,HCA Heathrow ER
HCA Florida Casselberry Emergency,28.6618,-81.3237,Sister FSED,HCA Casselberry ER
HCA Florida Wekiva Emergency,28.6903,-81.5063,Sister FSED,HCA Wekiva ER
HCA Florida West Volusia Emergency,28.9450,-81.3008,Sister FSED,HCA West Volusia ER
HCA Florida Mount Dora Emergency,28.8024,-81.6440,Sister FSED,HCA Mount Dora ER
HCA Florida Osceola Hospital,28.3035,-81.4078,Hospital,HCA Osceola Hospital
HCA Florida Poinciana Hospital,28.1404,-81.4695,Hospital,HCA Poinciana Hospital
HCA Florida Lake Monroe Hospital,28.7997,-81.2863,Hospital,HCA Lake Monroe Hospital
