Facility,Address,Latitude,Longitude,Type,System,Label
AdventHealth Orlando,"601 E Rollins St, Orlando, FL 32803",28.576405,-81.369381,Main Hospital,AdventHealth,AdventHealth Orlando
AdventHealth East Orlando,"7727 Lake Underhill Rd, Orlando, FL 32822",28.523837,-81.286746,Main Hospital,AdventHealth,AdventHealth East Orlando
AdventHealth Winter Park,"200 N Lakemont Ave, Winter Park, FL 32792",28.598317,-81.326387,Main Hospital,AdventHealth,AdventHealth Winter Park
AdventHealth Altamonte Springs,"601 E Altamonte Dr, Altamonte Springs, FL 32701",28.664010,-81.378118,Main Hospital,AdventHealth,AdventHealth Altamonte Springs
AdventHealth Celebration,"400 Celebration Pl, Celebration, FL 34747",28.317467,-81.537589,Main Hospital,AdventHealth,AdventHealth Celebration
AdventHealth Kissimmee,"2450 N Orange Blossom Trl, Kissimmee, FL 34744",28.331217,-81.404336,Main Hospital,AdventHealth,AdventHealth Kissimmee
AdventHealth Millenia ER,"4633 Vineland Rd, Orlando, FL 32811",28.495587,-81.433668,Freestanding ER,AdventHealth,AdventHealth Millenia ER
AdventHealth Waterford Lakes ER,"13691 E Colonial Dr, Orlando, FL 32826",28.567842,-81.191650,Freestanding ER,AdventHealth,AdventHealth Waterford Lakes ER
AdventHealth Lake Nona ER,"9975 Tavistock Lakes Blvd, Orlando, FL 32827",28.386476,-81.242036,Freestanding ER,AdventHealth,AdventHealth Lake Nona ER
AdventHealth Centra Care Hunter's Creek,"3299 Greenwald Way N, Kissimmee, FL 34741",28.3364,-81.4257,Centra Care,AdventHealth,AdventHealth Centra Care Hunter's Creek
