Facility,Address,Latitude,Longitude,Label
Orlando Fire Station 1,"78 W Central Blvd, Orlando, FL 32801",28.5417,-81.3805,Orlando Fire Station 1
Orlando Fire Station 2,"1215 W Robinson St, Orlando, FL 32805",28.5457,-81.3959,Orlando Fire Station 2
Orlando Fire Station 3,"2406 N Elizabeth Ave, Orlando, FL 32804",28.5737,-81.3928,Orlando Fire Station 3
Orlando Fire Station 4,"900 N Ferncreek Ave, Orlando, FL 32803",28.5594,-81.3527,Orlando Fire Station 4
Orlando Fire Station 5,"1818 S Orange Ave, Orlando, FL 32806",28.5219,-81.3769,Orlando Fire Station 5
Orlando Fire Station 6,"3113 E Robinson St, Orlando, FL 32803",28.5467,-81.3408,Orlando Fire Station 6
Orlando Fire Station 7,"601 S Goldwyn Ave, Orlando, FL 32805",28.5341,-81.4087,Orlando Fire Station 7
Orlando Fire Station 8,"6651 Shoalcreek Dr, Orlando, FL 32812",28.4687,-81.3095,Orlando Fire Station 8
Orlando Fire Station 9,"3856 Center Loop, Orlando, FL 32808",28.5862,-81.4470,Orlando Fire Station 9
Orlando Fire Station 10,"5655 Vineland Rd, Orlando, FL 32819",28.482963,-81.456298,Orlando Fire Station 10
Orlando Fire Station 11,"4925 Curry Ford Rd, Orlando, FL 32812",28.5246,-81.3252,Orlando Fire Station 11
Orlando Fire Station 12,"1588 Park Center Dr, Orlando, FL 32835",28.5262,-81.4718,Orlando Fire Station 12
Orlando Fire Station 13,"330 S Kirkman Rd, Orlando, FL 32811",28.5380,-81.4593,Orlando Fire Station 13
Orlando Fire Station 14,"1900 S Orange Blossom Trail, Orlando, FL 32805",28.5185,-81.3954,Orlando Fire Station 14
Orlando Fire Station 15,"10181 University Blvd, Orlando, FL 32817",28.5976,-81.2434,Orlando Fire Station 15
Orlando Fire Station 16,"7339 Curry Ford Rd, Orlando, FL 32822",28.5117,-81.2864,Orlando Fire Station 16
Orlando Fire Station 17,"9500 Dowden Rd, Orlando, FL 32832",28.4338,-81.2432,Orlando Fire Station 17
