Facility,Address,Type,System,Label
AdventHealth Millenia ER,"4633 Vineland Rd, Orlando, FL 32811",Freestanding ER,AdventHealth,AdventHealth Millenia ER
AdventHealth Orlando,"601 E Rollins St, Orlando, FL 32803",Main Hospital,AdventHealth,AdventHealth Orlando
AdventHealth East Orlando,"7727 Lake Underhill Rd, Orlando, FL 32822",Main Hospital,AdventHealth,AdventHealth East Orlando
AdventHealth Winter Park,"200 N Lakemont Ave, Winter Park, FL 32792",Main Hospital,AdventHealth,AdventHealth Winter Park
AdventHealth Celebration,"400 Celebration Pl, Celebration, FL 34747",Main Hospital,AdventHealth,AdventHealth Celebration
AdventHealth Kissimmee,"2450 N Orange Blossom Trl, Kissimmee, FL 34744",Main Hospital,AdventHealth,AdventHealth Kissimmee
AdventHealth Altamonte Springs,"601 E Altamonte Dr, Altamonte Springs, FL 32701",Main Hospital,AdventHealth,AdventHealth Altamonte Springs
AdventHealth Meadow Woods ER,"12242 S Orange Ave, Orlando, FL 32824",Freestanding ER,AdventHealth,AdventHealth Meadow Woods ER
AdventHealth Lake Nona ER,"10080 Lake Nona Blvd, Orlando, FL 32827",Freestanding ER,AdventHealth,AdventHealth Lake Nona ER
AdventHealth Palm Parkway ER,"7823 Palm Pkwy, Orlando, FL 32836",Freestanding ER,AdventHealth,AdventHealth Palm Parkway ER
AdventHealth Flamingo Crossings ER,"13323 Hartzog Rd, Winter Garden, FL 34787",Freestanding ER,AdventHealth,AdventHealth Flamingo Crossings ER
AdventHealth Waterford Lakes ER,"13691 E Colonial Dr, Orlando, FL 32826",Freestanding ER,AdventHealth,AdventHealth Waterford Lakes ER
