Facility,Address,Label
Orlando Fire Station 1,"78 W Central Blvd, Orlando, FL 32801",Orlando Fire Station 1
Orlando Fire Station 3,"1905 W Princeton St, Orlando, FL 32804",Orlando Fire Station 3
Orlando Fire Station 5,"1818 S Orange Ave, Orlando, FL 32806",Orlando Fire Station 5
Orlando Fire Station 6,"4600 Curry Ford Rd, Orlando, FL 32812",Orlando Fire Station 6
Orlando Fire Station 7,"601 S Goldwyn Ave, Orlando, FL 32805",Orlando Fire Station 7
Orlando Fire Station 8,"2200 S Rio Grande Ave, Orlando, FL 32805",Orlando Fire Station 8
Orlando Fire Station 10,"5505 Hansel Ave, Orlando, FL 32809",Orlando Fire Station 10
Orlando Fire Station 11,"4850 Raleigh St, Orlando, FL 32811",Orlando Fire Station 11
Orlando Fire Station 12,"1320 N Primrose Dr, Orlando, FL 32803",Orlando Fire Station 12
Orlando Fire Station 14,"300 S Summerlin Ave, Orlando, FL 32801",Orlando Fire Station 14
