Facility,Address,Type,System,Label
Orlando Health Orlando Regional Medical Center ER,"29 W Sturtevant St, Orlando, FL 32806",Main Hospital ER,Orlando Health,ORMC ER
Orlando Health Dr. P. Phillips Hospital ER,"9400 Turkey Lake Rd, Orlando, FL 32819",Main Hospital ER,Orlando Health,Dr. P. Phillips ER
Orlando Health Health Central Hospital ER,"10000 W Colonial Dr, Ocoee, FL 34761",Main Hospital ER,Orlando Health,Health Central ER
Orlando Health Arnold Palmer Hospital for Children ER,"92 W Miller St, Orlando, FL 32806",Pediatric Hospital ER,Orlando Health,Arnold Palmer ER
Orlando Health Winnie Palmer Hospital for Women & Babies,"83 W Miller St, Orlando, FL 32806",Women & Babies Hospital,Orlando Health,Winnie Palmer
Orlando Health Horizon West Hospital ER,"17000 Porter Rd, Winter Garden, FL 34787",Main Hospital ER,Orlando Health,Horizon West ER
Orlando Health Lake Mary Hospital ER,"380 Rinehart Rd, Lake Mary, FL 32746",Main Hospital ER,Orlando Health,Lake Mary ER
Orlando Health ER and Medical Pavilion - Osceola,"1001 E Osceola Pkwy, Kissimmee, FL 34744",Freestanding ER,Orlando Health,Osceola ER
Orlando Health Emergency Room - Randal Park,"10155 Dowden Rd, Orlando, FL 32832",Freestanding ER,Orlando Health,Randal Park ER
Orlando Health Emergency Room - Four Corners,"16966 Cagan Ridge Blvd, Clermont, FL 34714",Freestanding ER,Orlando Health,Four Corners ER
Orlando Health Emergency Room - Longwood,"575 W State Rd 434, Longwood, FL 32750",Freestanding ER,Orlando Health,Longwood ER
Orlando Health South Lake Hospital ER,"1900 Don Wickham Dr, Clermont, FL 34711",Main Hospital ER,Orlando Health,South Lake ER
Orlando Health South Lake Hospital ER - Blue Cedar,"22316 US Hwy 27, Leesburg, FL 34748",Freestanding ER,Orlando Health,Blue Cedar ER
